event_id,telegraph_ts,source,telegraph_text
GW001,2025-01-20T12:05:00-05:00,Trump inaugural address (broadcast/Truth Social),"We will drill, baby, drill. The inflation crisis was caused by massive overspending and escalating energy prices, and that is why today I will also declare a national energy emergency."
GW002,2025-04-02T16:00:00-04:00,Trump Rose Garden 'Liberation Day' (Truth Social),"Reciprocal tariffs on all trading partners — a baseline 10% on every import and much higher rates on the worst offenders. This is our declaration of economic independence."
GW003,2025-02-01T19:00:00-05:00,Truth Social,"Today I have ordered 25% tariffs on imports from Mexico and Canada and an additional 10% on China. They must stop the flow of fentanyl and illegal aliens."
GW004,2025-01-26T12:00:00-05:00,Truth Social,"Colombia has refused our deportation flights. I am imposing emergency 25% tariffs on all goods from Colombia, rising to 50% in one week, plus a travel ban and visa sanctions."
GW005,2025-03-06T18:00:00-05:00,Truth Social / Executive Order,"I am signing an Executive Order to establish a Strategic Bitcoin Reserve and a U.S. Digital Asset Stockpile. America will be the crypto capital of the world."
GW006,2024-12-21T19:00:00-05:00,Truth Social,"The Panama Canal is being ripped off. If the principles of this gift are not followed, we will demand that the Panama Canal be returned to the United States in full."
GW007,2025-01-07T11:00:00-05:00,Trump press conference (Mar-a-Lago) / Truth Social,"For purposes of national security and freedom throughout the world, the United States feels that the ownership and control of Greenland is an absolute necessity."
GW008,2025-05-11T20:00:00-04:00,Truth Social,"I will sign an Executive Order to cut prescription drug and pharmaceutical prices by 30% to 80% almost immediately, instituting a MOST FAVORED NATION policy."
GW009,2025-06-05T14:00:00-04:00,Truth Social / X,"Elon was wearing thin, I asked him to leave. The easiest way to save money in our Budget is to terminate Elon's governmental subsidies and contracts."
GW010,2025-02-10T17:00:00-05:00,Truth Social / proclamation,"Any steel coming into the United States is going to have a 25% tariff, and aluminum too. No exceptions, no exemptions."
GW011,2024-10-10T22:00:00-04:00,"Tesla 'We, Robot' event (X / livestream)","Tonight we unveil the Cybercab — fully autonomous, no steering wheel, no pedals. The future of transport is autonomous, and Tesla will lead it."
GW012,2025-01-17T21:00:00-05:00,Truth Social / X,"My NEW Official Trump Meme is HERE! It's time to celebrate everything we stand for: WINNING! Join my very special Trump Community. GET YOUR $TRUMP NOW."
GW013,2024-11-12T18:00:00-05:00,Truth Social / X,"I am pleased to announce that Elon Musk and Vivek Ramaswamy will lead the new Department of Government Efficiency — 'DOGE' — to slash regulations and wasteful expenditures."
GW014,2025-08-06T18:00:00-04:00,Trump (White House event) / Truth Social,"We will be putting a tariff of approximately 100% on chips and semiconductors coming into the United States. If you build in the U.S., there is no charge."
GW015,2025-01-19T12:00:00-05:00,Truth Social,"SAVE TIKTOK! I will issue an executive order to extend the period before the law's prohibitions take effect, so we can make a deal to protect our national security."
GW016,2025-05-23T08:00:00-04:00,Truth Social,"The European Union has been very difficult to deal with. I am recommending a straight 50% Tariff on the European Union, starting on June 1, 2025."
GW017,2025-04-17T09:00:00-04:00,Truth Social,"The ECB is cutting rates. Powell is always TOO LATE AND WRONG. Powell's termination cannot come fast enough! We should be lowering interest rates."
GW018,2024-12-18T12:00:00-05:00,X (Elon Musk),"This bill should not pass. Stop the steal of your tax dollars! Any member of the House or Senate who votes for this outrageous spending bill deserves to be voted out."
GW019,2025-04-22T13:00:00-04:00,HHS Sec. RFK Jr. press conference,"We are going to phase out all petroleum-based synthetic food dyes from the American food supply. These poisons have no place in our children's food."
GW020,2025-03-26T16:00:00-04:00,Trump (Oval Office) / proclamation,"I am announcing a 25% tariff on all automobiles that are not made in the United States, effective April 2. This will lead to tremendous growth in the industry."
GW021,2025-01-21T16:00:00-05:00,Trump White House announcement / Truth Social,"Announcing the Stargate Project — a $500 billion investment in AI infrastructure with OpenAI, Oracle, and SoftBank. The largest AI project in history, built in America."
GW022,2025-05-23T07:00:00-04:00,Truth Social,"I have long ago informed Tim Cook of Apple that I expect their iPhones sold in the U.S. to be manufactured here, not India. If not, a tariff of at least 25% must be paid."
GW023,2025-04-09T09:33:00-04:00,Truth Social,"THIS IS A GREAT TIME TO BUY!!! DJT. Be cool! Everything is going to work out well. The USA will be bigger and better than ever before."
GW024,2024-11-30T18:00:00-05:00,Truth Social,"The idea that the BRICS Countries are trying to move away from the Dollar is OVER. We require a commitment that they will not create a new BRICS currency, or face 100% Tariffs."
GW025,2025-06-21T22:00:00-04:00,Truth Social,"We have completed our very successful attack on the three Nuclear sites in Iran — Fordow, Natanz, and Esfahan. All planes are safely on their way home."
GW026,2025-02-19T08:00:00-05:00,Truth Social,"Zelenskyy refuses to have Elections, is very low in Ukrainian Polls. A Dictator without Elections, Zelenskyy better move fast or he is not going to have a Country left."
