event_id,telegraph_ts,source,telegraph_text
IRN001,2026-01-26,US DoD / CENTCOM,"USS Abraham Lincoln carrier strike group arrives in the CENTCOM area, marking the start of a major US military buildup near Iran."
IRN002,2026-02-13,US DoD,"US orders the carrier USS Gerald R. Ford toward the Middle East, creating a two-carrier posture as Trump pressures Tehran over its nuclear program."
IRN003,2026-02-17,Iranian state media (Khamenei),"Khamenei rejects limits on enrichment and missiles and warns that US warships in the Gulf could be sunk, as a second talks round opens in Geneva."
IRN004,2026-02-20,US Navy / reporting,"USS Gerald R. Ford is sighted off Gibraltar transiting the western Mediterranean en route toward the Middle East theater."
IRN005,2026-02-28,"US/Israel (Trump, Netanyahu)","US and Israel launch coordinated airstrikes on Iranian targets; Trump confirms major operations and Netanyahu frames it as removing an existential threat."
IRN006,2026-03-02,Iranian state media (IRGC),"Iran's IRGC declares the Strait of Hormuz closed to US- and Israel-allied shipping and begins attacking vessels attempting to transit."
IRN007,2026-03-21,Trump (Truth Social),"Trump threatens to obliterate Iran's power plants, biggest first, unless Iran fully reopens the Strait of Hormuz within 48 hours."
IRN008,2026-04-08,US/Iran (Trump; FM Araghchi),"US and Iran agree to a two-week ceasefire with safe passage through the Strait of Hormuz, brokered by Pakistan."
IRN009,2026-04-13,US DoD / Trump,"After the Islamabad talks collapse, the US imposes a naval blockade on Iranian ports and shipping to force the strait back open."
IRN010,2026-04-22,Trump,"Trump claims the naval blockade is costing Iran about 500 million dollars a day while keeping the blockade in place pending talks."
IRN011,2026-05-08,US DoD / CENTCOM,"US and Iranian forces exchange fire in the Strait of Hormuz, with US destroyers reportedly attacked by Iranian missiles, drones and small boats."
IRN012,2026-05-22,US/Iran officials,"US and Iran signal progress toward a 60-day memorandum of understanding that would pause hostilities and reopen the strait."
IRN013,2026-05-28,US DoD,"US conducts fresh strikes in Iran amid stalled talks, reviving fears over the Strait of Hormuz even as a tentative deal is discussed."
IRN014,2026-06-10,Trump (Truth Social),"After a US helicopter is downed and Iran strikes US bases, Trump says Iran has taken too long and will pay the price as the US resumes strikes."
IRN015,2026-06-15,"US/Iran (Trump, Vance)","Trump announces at the G7 that the US and Iran have signed a memorandum of understanding to end the blockade and reopen the Strait of Hormuz toll-free for 60 days."
