event_id,telegraph_ts,source,telegraph_text,mapped_tickers,direction,mechanism,horizon_days,chain_depth,audience_breadth,polymarket_query,confidence,rationale
IRN001,2026-01-26,US DoD / CENTCOM,"USS Abraham Lincoln carrier strike group arrives in the CENTCOM area, marking the start of a major US military buildup near Iran.",USO;XLE;MHO;IYM,long,"US military buildup near Iran raises geopolitical risk premium on energy and defense; oil rallies on Hormuz disruption fears, energy stocks and defense contractors benefit from conflict risk.",60,2,megaphone,US military confrontation with Iran by Q2 2026,medium,USS Abraham Lincoln CSG arrival in CENTCOM is direct and public signal of escalation posture. Oil (USO) and integrated energy (XLE) respond to Hormuz chokepoint risk on day one; defense contractors (IYM) and homebuilders/industrials (MHO as proxy for defense supply chain) rally on conflict risk premium. 60-day horizon captures initial shock and sustained elevated risk. No look-ahead applied; mapping only on military positioning facts known 26-Jan-2026.
IRN002,2026-02-13,US DoD,"US orders the carrier USS Gerald R. Ford toward the Middle East, creating a two-carrier posture as Trump pressures Tehran over its nuclear program.",USO;XLE;ZIM;LUV,long,"Two-carrier US posture + Trump Iran pressure → Strait of Hormuz closure/choke risk → crude/shipping rates spike (USO, XLE, ZIM gain; LUV margin compression is priced via short or pairs).",60,3,megaphone,US military escalation against Iran nuclear program by Q2 2026,medium,"DoD carrier deployment is a credible hard signal of intent. Two-carrier posture explicitly signals readiness to back nuclear pressure with force. This is a classic Hormuz-closure binary: oil, tankers, and shipping rates reprice upward; fuel-heavy transport (airlines) reprices downward. USO (crude) and XLE (energy sector) are direct long expressions; ZIM (Zim Integrated Shipping) captures tanker/container shock; LUV (Southwest) short-proxy captures airline margin compression. Horizon = 60 days to allow for escalation cycle or de-escalation clarity. Chain depth = 3 (deployment → escalation credibility → Hormuz risk → prices). Audience = megaphone (US DoD is official, widely tracked)."
IRN003,2026-02-17,Iranian state media (Khamenei),"Khamenei rejects limits on enrichment and missiles and warns that US warships in the Gulf could be sunk, as a second talks round opens in Geneva.",USO;XLE;ITA;IYM;UUP,long,"Khamenei's rejection of limits and threat to US Gulf assets → perceived Strait of Hormuz supply risk → oil/energy upside, defense premium, safe-haven demand.",21,2,megaphone,Iran-US military escalation in Persian Gulf by April 2026,medium,"Khamenei's public rejection and military threat is a credible escalation signal that historically spikes regional risk premia (oil, defense, safe havens). Talks backdrop suggests volatility but not yet full crisis. Megaphone reach guarantees instant global price reaction; 21-day horizon captures shock window before talks either restart stabilize or fully break down."
IRN004,2026-02-20,US Navy / reporting,USS Gerald R. Ford is sighted off Gibraltar transiting the western Mediterranean en route toward the Middle East theater.,TAN;FRO;EURN;USO;XLE,long,"US Navy carrier strike group transiting to Middle East signals escalation risk; Strait of Hormuz chokepoint vulnerability drives tanker rates, shipping costs, and energy risk premium higher.",40,3,broad,US military escalation in Middle East by March 2026,medium,Official naval positioning is a credible geopolitical signal processed by institutional energy and shipping desks. Tanker operators and energy have direct exposure to Hormuz transit risk and cost inflation. No look-ahead applied; mapping from 2026-02-20 forward only. Confidence is medium because the transit itself does not guarantee escalation—only that risk premium should embed immediately.
IRN005,2026-02-28,"US/Israel (Trump, Netanyahu)",US and Israel launch coordinated airstrikes on Iranian targets; Trump confirms major operations and Netanyahu frames it as removing an existential threat.,USO;XLE;CVX;MPC,long,"US/Israel airstrikes on Iran trigger supply disruption fears in Strait of Hormuz, spiking crude oil and energy sector equities.",30,2,megaphone,Oil price above $100/barrel by end of March 2026,high,"Direct geopolitical shock: Iranian retaliation risk and Hormuz chokepoint threat are immediate drivers of crude demand and energy stock repricing. Trump/Netanyahu statements carry maximum credibility and reach. Oil markets historically spike 15–40% on Middle East conflict escalation within days. USO, XLE (energy ETF), CVX (Chevron), MPC (Marathon Petroleum) capture crude upside and downstream refining margin expansion. 30-day horizon captures initial volatility and supply-chain repricing."
IRN006,2026-03-02,Iranian state media (IRGC),Iran's IRGC declares the Strait of Hormuz closed to US- and Israel-allied shipping and begins attacking vessels attempting to transit.,USO;XLE;EURN,long,Iran closes Strait of Hormuz to US/Israel-allied shipping and attacks vessels → crude supply disruption → crude prices and tanker rates spike; integrated energy operators benefit from elevated margins.,30,2,megaphone,Strait of Hormuz shipping disruption or closure by March 2026,high,"IRGC declaration is an explicit, state-level supply shock affecting 40% of seaborne oil transits. Pre-2026-03-02 market structure: crude (USO), integrated energy (XLE), and tanker operators (EURN) are the most direct liquid instruments expressing the mechanism. No look-ahead; Iran's announcement itself is the causal trigger."
IRN007,2026-03-21,Trump (Truth Social),"Trump threatens to obliterate Iran's power plants, biggest first, unless Iran fully reopens the Strait of Hormuz within 48 hours.",USO;XLE;IYM,long,Trump's 48-hour ultimatum to Iran on Strait of Hormuz reopening → credible threat of power plant strikes → oil supply shock risk → crude prices and energy stocks spike; hard assets rally on geopolitical premium.,14,2,megaphone,Strait of Hormuz closure or major disruption by April 2026,high,"Trump's public ultimatum is credible, high-reach, and carries explicit military escalation risk. The 48-hour deadline creates acute resolution pressure. Oil (USO) and energy equities (XLE) are most direct hedges; IYM captures broad commodity risk-on. Geopolitical crises typically drive oil spikes and energy outperformance over 1-2 weeks. No look-ahead to actual Iranian response; mapping from threat signal only."
IRN008,2026-04-08,US/Iran (Trump; FM Araghchi),"US and Iran agree to a two-week ceasefire with safe passage through the Strait of Hormuz, brokered by Pakistan.",USO;XLE;TAN,long,US–Iran ceasefire with Hormuz safe passage → reduced geopolitical oil premium and supply-risk hedges → crude prices and energy equities rally on de-escalation.,14,2,megaphone,US–Iran ceasefire holds through April 2026,medium,"A Trump-brokered US–Iran ceasefire with guaranteed Strait of Hormuz transit directly removes the single largest geopolitical oil-supply risk (blockade or attack on tankers). Oil markets have priced in Hormuz closure risk; a two-week safe-passage agreement is a material de-risking event. Crude (USO) and broad energy (XLE) should rally. TAN (clean energy) may see a smaller bump as oil falling reduces relative value of renewables, but the broader risk-off in energy uncertainty supports it. Chain depth = 2 (ceasefire → Hormuz risk removal → energy prices). The 14-day horizon matches the ceasefire duration; outcome clarity is high. Confidence is medium because the durability and enforceability of the agreement is unproven."
IRN009,2026-04-13,US DoD / Trump,"After the Islamabad talks collapse, the US imposes a naval blockade on Iranian ports and shipping to force the strait back open.",USO;XLE;ZIM;SBLK,long,US naval blockade of Iranian ports announced → Strait of Hormuz closure risk → oil prices and tanker rates spike; energy equities and shipping stocks rally.,45,2,megaphone,US implements naval blockade on Iranian ports by end of April 2026,medium,"DoD/Trump announcement of Iranian blockade is a direct megaphone signal with immediate commodity/logistics repricing. Oil and shipping are the cleanest mechanical plays on Strait closure risk. Chain is short (announcement → market repricing). Confidence tempered by uncertainty about enforcement duration and Iranian response, which could shorten or extend the move."
IRN010,2026-04-22,Trump,Trump claims the naval blockade is costing Iran about 500 million dollars a day while keeping the blockade in place pending talks.,XLE;CVX;COP,long,"Naval blockade on Iran restricts oil supply, creating upward pressure on global oil prices and benefiting large-cap U.S. energy companies.",45,2,megaphone,Will Iran naval blockade remain in place beyond June 2026?,medium,"Trump's claim that the blockade costs Iran $500M/day and remains pending talks signals a supply-constrained energy market. Large U.S. energy majors (XLE, CVX, COP) benefit from sustained oil supply tightness and elevated prices. The 45-day horizon reflects Trump's 'pending talks' language, suggesting near-term resolution uncertainty. No look-ahead bias applied; reasoning is based solely on the stated mechanism and pre-April 2026 geopolitical/market structure."
