event_id,telegraph_ts,source,telegraph_text
WK001,2025-11-07T16:30:00-0500,Weekly synthesis (Trump posts),Trump orders Department of War to resume US nuclear weapons testing 'on an equal basis' with other countries.
WK002,2025-11-07T16:30:00-0500,Weekly synthesis (Trump posts),Supreme Court hears landmark case on legality of Trump's tariff authority; outcome could void presidential tariff powers.
WK003,2025-11-07T16:30:00-0500,Weekly synthesis (Trump posts),Trump orders DOJ probe into majority foreign-owned meatpacking firms for beef price-fixing and collusion.
WK004,2025-11-14T16:30:00-0500,Weekly synthesis (Trump posts),"Trump warns Supreme Court tariff case could force unwind exceeding $3 trillion, signaling legal risk to entire tariff regime."
WK005,2025-11-14T16:30:00-0500,Weekly synthesis (Trump posts),Government shutdown nearing resolution as Democrats 'crack'; Trump orders air traffic controllers back to work amid aviation disruption.
WK006,2025-11-21T16:30:00-0500,Weekly synthesis (Trump posts),"Trump promotes active US-brokered Russia-Ukraine peace talks, citing Nobel nomination and ongoing negotiations to end the war"
WK007,2025-11-21T16:30:00-0500,Weekly synthesis (Trump posts),"Nvidia's Huang touts US Blackwell chip production starting, crediting Trump tariffs for AI re-industrialization push"
WK008,2025-11-21T16:30:00-0500,Weekly synthesis (Trump posts),Trump demands single federal AI standard preempting state regulation to protect AI investment growth engine
WK009,2025-11-28T16:30:00-0500,Weekly synthesis (Trump posts),"US-brokered Russia-Ukraine peace plan advancing; 28-point framework fine-tuned, both sides reportedly nearing agreement on ending war"
WK010,2025-11-28T16:30:00-0500,Weekly synthesis (Trump posts),"Trump-Xi call yields China trade deal on soybeans, farm products, fentanyl; relationship described as extremely strong"
WK011,2025-11-28T16:30:00-0500,Weekly synthesis (Trump posts),Trump announces permanent pause on migration from all Third World countries and terminating Biden-era admissions
WK012,2025-12-05T16:30:00-0500,Weekly synthesis (Trump posts),Trump declares Venezuelan airspace closed in its entirety amid escalating US anti-drug military pressure on Venezuela
WK013,2025-12-05T16:30:00-0500,Weekly synthesis (Trump posts),Trump holds productive call with Brazil's Lula discussing tariffs and rolling back sanctions on Brazilian officials
WK014,2025-12-12T16:30:00-0500,Weekly synthesis (Trump posts),"Trump authorizes NVIDIA to ship H200 chips to approved China customers, with 25% paid to US; Xi responded positively."
WK015,2025-12-12T16:30:00-0500,Weekly synthesis (Trump posts),"Trump warns Supreme Court tariff ruling looms as major threat; case seen as direct, fast tariff mechanism at risk."
WK016,2025-12-19T16:30:00-0500,Weekly synthesis (Trump posts),"US blockades sanctioned oil tankers and surrounds Venezuela with largest armada, demanding return of oil and assets, escalating military pressure."
WK017,2025-12-19T16:30:00-0500,Weekly synthesis (Trump posts),Trump touts tariffs cutting trade deficit by half; Supreme Court ruling on tariff legality pending.
WK018,2025-12-26T16:30:00-0500,Weekly synthesis (Trump posts),"Q3 GDP reported at 4.3%, far above ~3.2% expectations, with administration touting strong growth and low inflation."
WK019,2025-12-26T16:30:00-0500,Weekly synthesis (Trump posts),"US military strikes against ISIS in Syria and northwest Nigeria, retaliation for killings of Americans and Christians."
WK020,2026-01-02T16:30:00-0500,Weekly synthesis (Trump posts),Trump threatens US military intervention in Iran if regime kills protesters; 'locked and loaded and ready to go.'
WK021,2026-01-02T16:30:00-0500,Weekly synthesis (Trump posts),Trump hosts Putin call and Zelenskyy meeting at Mar-a-Lago pushing Ukraine peace deal; cites Russian obstruction.
WK022,2026-01-09T16:30:00-0500,Weekly synthesis (Trump posts),"US military strike captures Maduro; regime change in Venezuela, US controls 30-50M barrels sanctioned oil and seizes tankers, oil majors meet White House"
WK023,2026-01-09T16:30:00-0500,Weekly synthesis (Trump posts),Trump publicly attacks defense contractors (Raytheon named) over buybacks/dividends while raising 2027 military budget to $1.5 trillion
WK024,2026-01-09T16:30:00-0500,Weekly synthesis (Trump posts),Supreme Court tariff ruling pending; Trump touts $600B tariff revenue ahead of decision
WK025,2026-01-16T16:30:00-0500,Weekly synthesis (Trump posts),"Trump imposes 25% secondary tariff on any country doing business with Iran, amid Iran unrest and warnings to regime"
WK026,2026-01-16T16:30:00-0500,Weekly synthesis (Trump posts),"US-Venezuela partnership post-intervention; calls with interim president on oil, minerals, trade; prisoner releases and stabilization"
WK027,2026-01-16T16:30:00-0500,Weekly synthesis (Trump posts),Low inflation/strong GDP (~5%) data released; Trump pressures Powell for meaningful rate cuts; mortgage rates fall via Fannie/Freddie bond buying
WK028,2026-01-23T16:30:00-0500,Weekly synthesis (Trump posts),"Trump and NATO form framework deal over Greenland/Arctic control, citing China-Russia threat; meetings at Davos advancing 'Golden Dome' plan."
WK029,2026-01-23T16:30:00-0500,Weekly synthesis (Trump posts),"Trump sues JPMorgan and CEO Dimon for $5B over alleged political debanking, escalating attacks on major bank."
WK030,2026-01-23T16:30:00-0500,Weekly synthesis (Trump posts),"Trump touts mortgage rates at three-year low, attacks Powell; tariff litigation pending at Supreme Court."
WK031,2026-01-30T16:30:00-0500,Weekly synthesis (Trump posts),"US carrier armada led by USS Abraham Lincoln moving toward Iran, threatening imminent military action with 'speed and violence'."
WK032,2026-01-30T16:30:00-0500,Weekly synthesis (Trump posts),Trump nominates Kevin Warsh as Federal Reserve Chairman after publicly attacking Powell over refusal to cut rates.
WK033,2026-01-30T16:30:00-0500,Weekly synthesis (Trump posts),US decertifies all Canadian-made Bombardier aircraft amid escalating Trump threats over Canada-China trade deal.
WK034,2026-02-06T16:30:00-0500,Weekly synthesis (Trump posts),"Trump holds calls with Xi (confirming April China trip, trade, Taiwan) and Modi, who agrees to stop buying Russian oil and buy US energy"
WK035,2026-02-06T16:30:00-0500,Weekly synthesis (Trump posts),US bolsters Middle East forces while Trump signals openness to Iran nuclear deal; diplomacy weighed amid rising tensions
WK036,2026-02-06T16:30:00-0500,Weekly synthesis (Trump posts),"Trump welcomes China, India investment in Venezuela oil; signals deals with Cuba, easing sanctions posture"
WK037,2026-02-13T16:30:00-0500,Weekly synthesis (Trump posts),US deploys second aircraft carrier to Middle East as Iran nuclear negotiations continue per Netanyahu meeting; Mideast tensions building.
WK038,2026-02-13T16:30:00-0500,Weekly synthesis (Trump posts),"Venezuela rapprochement: US dealing with Rodriguez government, oil 'starting to flow,' sanctions easing implied."
WK039,2026-02-13T16:30:00-0500,Weekly synthesis (Trump posts),Trump escalates tariff threats against Canada and demands Republicans uphold tariffs; pressure for Fed rate cuts after strong jobs report.
