event_id,telegraph_ts,source,telegraph_text,mapped_tickers,direction,mechanism,horizon_days,chain_depth,audience_breadth,prediction_market_odds,confidence,rationale
GW001,2025-01-20T12:05:00-05:00,Trump inaugural address (broadcast/Truth Social),"We will drill, baby, drill. The inflation crisis was caused by massive overspending and escalating energy prices, and that is why today I will also declare a national energy emergency.",XLE;XOP,long,Pro-drilling + energy emergency = deregulation tailwind for US oil & gas producers,60,1,megaphone,,medium,In-session blind mapping from pre-catalyst priors (no live web search this run).
GW002,2025-04-02T16:00:00-04:00,Trump Rose Garden 'Liberation Day' (Truth Social),Reciprocal tariffs on all trading partners — a baseline 10% on every import and much higher rates on the worst offenders. This is our declaration of economic independence.,QQQ,short,"Broad reciprocal tariffs = global trade shock, risk-off in high-beta globally-exposed tech",21,2,megaphone,,medium,In-session blind mapping from pre-catalyst priors (no live web search this run).
GW003,2025-02-01T19:00:00-05:00,Truth Social,Today I have ordered 25% tariffs on imports from Mexico and Canada and an additional 10% on China. They must stop the flow of fentanyl and illegal aliens.,F;GM,short,"25% tariffs on Mexico/Canada break cross-border auto supply chains, hitting US automakers",21,2,megaphone,,medium,In-session blind mapping from pre-catalyst priors (no live web search this run).
GW004,2025-01-26T12:00:00-05:00,Truth Social,"Colombia has refused our deportation flights. I am imposing emergency 25% tariffs on all goods from Colombia, rising to 50% in one week, plus a travel ban and visa sanctions.",GXG,short,Emergency tariffs + sanctions on Colombia hit Colombian equities/economy,14,2,broad,,low,In-session blind mapping from pre-catalyst priors (no live web search this run).
GW005,2025-03-06T18:00:00-05:00,Truth Social / Executive Order,I am signing an Executive Order to establish a Strategic Bitcoin Reserve and a U.S. Digital Asset Stockpile. America will be the crypto capital of the world.,COIN;MSTR;IBIT,long,"Federal Strategic Bitcoin Reserve legitimizes/bids BTC, lifting crypto proxies",30,2,megaphone,,medium,In-session blind mapping from pre-catalyst priors (no live web search this run).
GW006,2024-12-21T19:00:00-05:00,Truth Social,"The Panama Canal is being ripped off. If the principles of this gift are not followed, we will demand that the Panama Canal be returned to the United States in full.",ZIM,short,Threat to seize the Panama Canal raises shipping-route/political risk for container lines,45,3,broad,,low,In-session blind mapping from pre-catalyst priors (no live web search this run).
GW007,2025-01-07T11:00:00-05:00,Trump press conference (Mar-a-Lago) / Truth Social,"For purposes of national security and freedom throughout the world, the United States feels that the ownership and control of Greenland is an absolute necessity.",MP,long,"Greenland acquisition push spotlights critical-mineral/arctic strategy, bid for rare-earth miners",60,3,broad,,low,In-session blind mapping from pre-catalyst priors (no live web search this run).
GW008,2025-05-11T20:00:00-04:00,Truth Social,"I will sign an Executive Order to cut prescription drug and pharmaceutical prices by 30% to 80% almost immediately, instituting a MOST FAVORED NATION policy.",PFE;MRK,short,"Most-Favored-Nation drug pricing = US price cuts, revenue hit to big pharma",21,2,megaphone,,medium,In-session blind mapping from pre-catalyst priors (no live web search this run).
GW009,2025-06-05T14:00:00-04:00,Truth Social / X,"Elon was wearing thin, I asked him to leave. The easiest way to save money in our Budget is to terminate Elon's governmental subsidies and contracts.",TSLA,short,Trump-Musk feud threatens Tesla/SpaceX subsidies and contracts,14,2,megaphone,,medium,In-session blind mapping from pre-catalyst priors (no live web search this run).
GW010,2025-02-10T17:00:00-05:00,Truth Social / proclamation,"Any steel coming into the United States is going to have a 25% tariff, and aluminum too. No exceptions, no exemptions.",NUE;X;CLF,long,25% steel/aluminum tariff gives domestic steelmakers pricing power,30,1,broad,,high,In-session blind mapping from pre-catalyst priors (no live web search this run).
GW011,2024-10-10T22:00:00-04:00,"Tesla 'We, Robot' event (X / livestream)","Tonight we unveil the Cybercab — fully autonomous, no steering wheel, no pedals. The future of transport is autonomous, and Tesla will lead it.",TSLA,long,Robotaxi/Cybercab unveil = autonomy product catalyst for Tesla,14,1,broad,,medium,In-session blind mapping from pre-catalyst priors (no live web search this run).
GW012,2025-01-17T21:00:00-05:00,Truth Social / X,My NEW Official Trump Meme is HERE! It's time to celebrate everything we stand for: WINNING! Join my very special Trump Community. GET YOUR $TRUMP NOW.,COIN,long,"Official $TRUMP memecoin drives crypto retail volume, benefiting the exchange",7,2,megaphone,,low,In-session blind mapping from pre-catalyst priors (no live web search this run).
GW013,2024-11-12T18:00:00-05:00,Truth Social / X,I am pleased to announce that Elon Musk and Vivek Ramaswamy will lead the new Department of Government Efficiency — 'DOGE' — to slash regulations and wasteful expenditures.,BAH;LDOS,short,"DOGE = federal budget/headcount cuts, revenue risk to govt-services contractors",60,3,broad,,medium,In-session blind mapping from pre-catalyst priors (no live web search this run).
GW014,2025-08-06T18:00:00-04:00,Trump (White House event) / Truth Social,"We will be putting a tariff of approximately 100% on chips and semiconductors coming into the United States. If you build in the U.S., there is no charge.",INTC,long,100% chip tariff with US-build exemption favors domestic fabs,30,2,broad,,low,In-session blind mapping from pre-catalyst priors (no live web search this run).
GW015,2025-01-19T12:00:00-05:00,Truth Social,"SAVE TIKTOK! I will issue an executive order to extend the period before the law's prohibitions take effect, so we can make a deal to protect our national security.",ORCL,long,Saving TikTok preserves Oracle's US cloud-hosting deal,30,3,broad,,low,In-session blind mapping from pre-catalyst priors (no live web search this run).
GW016,2025-05-23T08:00:00-04:00,Truth Social,"The European Union has been very difficult to deal with. I am recommending a straight 50% Tariff on the European Union, starting on June 1, 2025.",EZU,short,Threatened 50% EU tariff = trade shock to eurozone exporters,21,2,megaphone,,medium,In-session blind mapping from pre-catalyst priors (no live web search this run).
GW017,2025-04-17T09:00:00-04:00,Truth Social,The ECB is cutting rates. Powell is always TOO LATE AND WRONG. Powell's termination cannot come fast enough! We should be lowering interest rates.,GLD,long,"Attack on Fed independence + rate-cut pressure stokes debasement fear, bid for gold",30,3,megaphone,,medium,In-session blind mapping from pre-catalyst priors (no live web search this run).
GW018,2024-12-18T12:00:00-05:00,X (Elon Musk),This bill should not pass. Stop the steal of your tax dollars! Any member of the House or Senate who votes for this outrageous spending bill deserves to be voted out.,QQQ,short,"Musk pushing to kill the spending bill raises shutdown/brinkmanship risk, risk-off",10,2,broad,,low,In-session blind mapping from pre-catalyst priors (no live web search this run).
GW019,2025-04-22T13:00:00-04:00,HHS Sec. RFK Jr. press conference,We are going to phase out all petroleum-based synthetic food dyes from the American food supply. These poisons have no place in our children's food.,KHC;GIS,short,Synthetic-dye phase-out = reformulation cost/demand risk for packaged-food makers,45,2,niche,,low,In-session blind mapping from pre-catalyst priors (no live web search this run).
GW020,2025-03-26T16:00:00-04:00,Trump (Oval Office) / proclamation,"I am announcing a 25% tariff on all automobiles that are not made in the United States, effective April 2. This will lead to tremendous growth in the industry.",GM;F;STLA,short,25% auto tariff hits import-reliant automakers,30,2,megaphone,,medium,In-session blind mapping from pre-catalyst priors (no live web search this run).
GW021,2025-01-21T16:00:00-05:00,Trump White House announcement / Truth Social,"Announcing the Stargate Project — a $500 billion investment in AI infrastructure with OpenAI, Oracle, and SoftBank. The largest AI project in history, built in America.",ORCL;NVDA;VRT,long,"Stargate $500B AI buildout = demand for named/adjacent AI-infra (cloud, chips, datacenter power)",30,2,megaphone,,medium,In-session blind mapping from pre-catalyst priors (no live web search this run).
GW022,2025-05-23T07:00:00-04:00,Truth Social,"I have long ago informed Tim Cook of Apple that I expect their iPhones sold in the U.S. to be manufactured here, not India. If not, a tariff of at least 25% must be paid.",AAPL,short,25% tariff threat on US iPhones directly pressures Apple,21,1,megaphone,,medium,In-session blind mapping from pre-catalyst priors (no live web search this run).
GW023,2025-04-09T09:33:00-04:00,Truth Social,THIS IS A GREAT TIME TO BUY!!! DJT. Be cool! Everything is going to work out well. The USA will be bigger and better than ever before.,QQQ,long,"'Great time to buy' signals imminent de-escalation, risk-on rally in high-beta",7,1,megaphone,,low,In-session blind mapping from pre-catalyst priors (no live web search this run).
GW024,2024-11-30T18:00:00-05:00,Truth Social,"The idea that the BRICS Countries are trying to move away from the Dollar is OVER. We require a commitment that they will not create a new BRICS currency, or face 100% Tariffs.",UUP,long,100% BRICS tariff threat over de-dollarization = dollar-supportive,30,2,broad,,low,In-session blind mapping from pre-catalyst priors (no live web search this run).
