event_id,telegraph_ts,source,telegraph_text,mapped_tickers,direction,mechanism,horizon_days,chain_depth,audience_breadth,polymarket_query,confidence,rationale
WK001,2025-11-07T16:30:00-0500,Weekly synthesis (Trump posts),Trump orders Department of War to resume US nuclear weapons testing 'on an equal basis' with other countries.,BWXT,long,"Trump orders resumption of US nuclear weapons testing -> signals renewed funding/modernization of the US nuclear weapons complex (NNSA, defense fuels, naval reactors) -> BWX Technologies, the prime publicly-listed NNSA/naval nuclear contractor, is the purest equity beneficiary.",30,3,megaphone,US conducts nuclear weapons test by mid-2026,low,"Telegraph is a top Trump Truth Social post (megaphone) directing the Department of War to resume nuclear weapons testing 'on an equal basis,' announced before/around the Xi meeting and following reports of Russia's Poseidon test. Vehicle menu weighed: uranium-miner ETFs (URA/URNM) tend to spike reflexively on any 'nuclear' headline, but weapons testing consumes no commercial uranium and those funds track spot/miner economics, so the link is pure sentiment and diluted; broad defense names (LMT, RTX) and defense ETF ITA bury nuclear-complex exposure under unrelated programs; BWXT is the most direct US-listed proxy for the government nuclear weapons enterprise — it holds NNSA Defense Fuels and high-purity depleted-uranium contracts plus naval reactor work, so a renewed weapons-testing/modernization posture flows most cleanly to it. Chosen single pure vehicle = BWXT, long. Chain is honestly indirect (testing itself is run by national labs, not a listed firm; the trade rides the implied spending/modernization signal), hence depth 3 and low confidence. No magnitude or probability estimated."
WK002,2025-11-07T16:30:00-0500,Weekly synthesis (Trump posts),Supreme Court hears landmark case on legality of Trump's tariff authority; outcome could void presidential tariff powers.,FIVE;DLTR;WSM;RH,long,SCOTUS appeared skeptical of Trump's IEEPA tariffs at the Nov 5 oral argument -> market raises odds the tariffs are voided and import duties refunded -> import-cost relief flows to the most China-sourced consumer-discretionary retailers.,60,3,broad,Supreme Court strikes down Trump IEEPA tariffs,medium,"Pre-catalyst facts as of 2025-11-07: SCOTUS heard the consolidated IEEPA tariff case (Learning Resources v. Trump / Trump v. V.O.S. Selections) on Nov 5, 2025, and contemporaneous reporting indicated a majority of justices voiced skepticism toward the government's rationale for the tariffs. The telegraph frames a possible voiding of presidential tariff authority. If the IEEPA tariffs fall, the end of the causal chain is lower import-duty costs (and potential refunds) on China-sourced consumer goods. Vehicle menu weighed: SPY/broad market (far too diluted to isolate the tariff driver); XRT retail ETF (focused but diluted by grocery, auto-parts and non-import names); single mega-caps like NKE (import-exposed but swamped by brand/company factors); and a tight basket of the most China-import-cost-levered discretionary retailers. I chose the latter — FIVE and DLTR (dollar/discount, overwhelmingly China-sourced) plus WSM and RH (furniture/home heavily imported from Asia) — as the purest equity expression of falling import-tariff costs. Direction is long because rising odds of repeal are a positive cost shock for these importers. No magnitude, probability or sizing is asserted; resolvable upstream question is whether SCOTUS strikes down the IEEPA tariffs, fetched downstream from Polymarket."
WK003,2025-11-07T16:30:00-0500,Weekly synthesis (Trump posts),Trump orders DOJ probe into majority foreign-owned meatpacking firms for beef price-fixing and collusion.,JBS,short,"Trump-ordered DOJ price-fixing/collusion probe into 'majority foreign-owned' beef packers points squarely at Brazilian-controlled JBS (NYSE: JBS), adding antitrust/legal and political headline overhang that pressures the equity.",30,1,megaphone,DOJ investigation into meatpackers for beef price-fixing 2025,medium,"Among large US-listed beef processors, Tyson (TSN) is US-owned and Cargill/National Beef are private/foreign-parented but not directly listed, while JBS N.V. — the Brazilian-controlled giant that began NYSE trading under ticker JBS in June 2025 — is the clearest 'majority foreign-owned' packer the probe targets. I considered TSN (wrong nationality, not the named target; could even be a relative beneficiary), Pilgrim's Pride (PPC, JBS-controlled but poultry, not beef), and JBS itself; JBS is the purest single vehicle for a probe explicitly framed around foreign-owned beef firms. A government price-fixing/collusion investigation is a regulatory and reputational overhang, hence short. The signal is a top Trump post on the politically charged beef-price issue read instantly by the whole market (megaphone). Single direct hop from named target to its stock. Reasoning uses only pre-2025-11-07 facts: JBS's foreign ownership, its mid-2025 NYSE listing, and longstanding beef-packer antitrust scrutiny; no post-telegraph information used. Medium confidence because prior packer price-fixing litigation may already be partly discounted in a depressed share price."
WK004,2025-11-14T16:30:00-0500,Weekly synthesis (Trump posts),"Trump warns Supreme Court tariff case could force unwind exceeding $3 trillion, signaling legal risk to entire tariff regime.",XRT,long,"Trump publicly amplifying a >$3T unwind risk raises the market-perceived probability the Supreme Court strikes down the IEEPA tariff regime, which would remove import duties (and trigger refunds) for import-dependent retailers -> long the equal-weight retail ETF most exposed to that tariff relief.",90,3,megaphone,Supreme Court strikes down Trump IEEPA tariffs,medium,"Pre-telegraph facts only: the Supreme Court heard oral argument on the IEEPA tariffs (V.O.S. Selections v. Trump) on Nov 5, 2025, after the CIT and Federal Circuit had already ruled the tariffs unlawful, with a decision widely expected by year-end/early 2026. Trump loudly flagging a >$3T 'unwind' is the new salient input: it elevates perceived legal jeopardy to the entire tariff regime, the cleanest read being a higher chance the duties are removed. Vehicle menu considered: there is no pure tradable 'tariff' instrument; single mega-cap retailers (e.g., WMT) dilute the signal with grocery/domestic mix; broad SPY/XLY is too diversified. I chose XRT (SPDR S&P Retail, equal-weight) as the purest liquid equity proxy for the end of the chain — import-reliant discretionary retailers whose input costs and refund optionality move most directly with a tariff strike-down. Direction long on tariff relief. Chain is genuinely ~3 hops (post -> elevated strike-down odds -> import-cost/refund relief -> retail ETF), and because the source is Trump's own public posts the broadcast is a megaphone. The clean upstream resolvable event is the SCOTUS ruling itself, hence the Polymarket query; confidence is medium given the equity vehicle is an indirect proxy and the legal outcome is itself unresolved at the telegraph date."
WK005,2025-11-14T16:30:00-0500,Weekly synthesis (Trump posts),Government shutdown nearing resolution as Democrats 'crack'; Trump orders air traffic controllers back to work amid aviation disruption.,JETS,long,"Shutdown resolution -> Trump orders controllers back and FAA lifts mandated flight reductions -> airlines restore schedules into Thanksgiving demand -> airline-sector equities recover, tracked purest by the JETS airline ETF.",21,2,megaphone,Government shutdown end by November 2025,medium,"As of 2025-11-14 a bill reopening the government after a 43-day shutdown had just been signed, and the FAA was poised to lift the staffing-driven flight reductions that had forced 1,000+ daily cancellations affecting 5M+ travelers. The driver is recovery of US airline capacity/revenue, not a commodity or rate, so the purest vehicle is the airline-sector ETF JETS rather than a single carrier (DAL/UAL/AAL/LUV) whose price carries idiosyncratic risk; JETS equal-weights the sector exposed to schedule restoration ahead of peak holiday travel. Considered individual carriers and broad transports (IYT) but JETS isolates the airline-recovery thesis most directly without diluting it. Short horizon reflects a near-term operational normalization catalyst already largely public."
WK006,2025-11-21T16:30:00-0500,Weekly synthesis (Trump posts),"Trump promotes active US-brokered Russia-Ukraine peace talks, citing Nobel nomination and ongoing negotiations to end the war",EUAD,short,Trump megaphones an active US-brokered Russia-Ukraine peace deal -> market prices a higher probability the war ends -> the rearmament/order-backlog premium in European defense primes deflates -> the US-listed European defense ETF that holds those names falls.,21,2,megaphone,Russia-Ukraine ceasefire or peace deal in 2025,medium,"On 2025-11-20/21 a 28-point US-brokered peace plan was presented to Zelenskyy and Trump publicly pushed it; concurrently European gas hit an ~18-month low and the peace-dividend narrative was already live. The purest end-of-chain driver is the war-risk/rearmament premium embedded in EUROPEAN defense equities (Rheinmetall, BAE, Thales, Leonardo, Saab), which are far more Ukraine-leveraged than US primes. Vehicles weighed: ITA/PPA (US aerospace-defense, diluted by Boeing commercial and US program backlogs, weak Ukraine read-through); single names like RTX/LMT (US-domestic, company-specific noise); and EUAD (Select STOXX Europe Aerospace & Defense ETF, US-listed on Nasdaq/Cboe), which is the cleanest US-brokerage way to own the exact European names whose valuations most directly discount the war ending. Chose EUAD as the single purest instrument. Short because a credible peace path compresses the war premium. Horizon kept short because negotiations are headline-driven and could stall or reverse; sizing/probability left to downstream and Polymarket. No magnitude or probability estimated, and reasoning uses only pre-2025-11-21 information."
WK007,2025-11-21T16:30:00-0500,Weekly synthesis (Trump posts),"Nvidia's Huang touts US Blackwell chip production starting, crediting Trump tariffs for AI re-industrialization push",AMKR;TSM;AMAT;LRCX,long,Huang/Trump touting Blackwell now being fabbed and packaged on US soil under threat of ~100% chip tariffs -> validation and acceleration of the US semiconductor reshoring buildout -> the firms physically running and equipping Arizona fab/packaging lines gain order and capex visibility.,30,2,broad,Trump semiconductor import tariffs imposed in 2025,medium,"Pre-21-Nov record shows Nvidia's $500B April US-manufacturing pledge with TSMC/Amkor/Foxconn partners, TSMC's Phoenix Blackwell wafers (Oct), Huang's late-Oct claim that Blackwell is in full production in Arizona, and Trump's Aug threat of ~100% tariffs on foreign chips with an exemption for companies building in the US. The telegraph is about chips being MADE in the US, so the purest beneficiaries are the actual manufacturing/packaging/equipment links, not the fabless designer. Vehicles weighed: NVDA (rejected — fabless, reshoring only lets it dodge tariffs rather than adding production value, and its price is driven by AI demand not reshoring); SMH/SOXX (rejected — diluted by global/Taiwan exposure and NVDA weighting); TSM (Arizona wafer-fab operator, kept but carries Taiwan/China geopolitical dilution); AMKR (purest — US advanced-packaging partner physically packaging in Arizona); AMAT/LRCX (wafer-fab equipment, direct capex beneficiaries of domestic fab buildout). Chose a tight equal-weight basket of the build-in-US ecosystem; long because the tariff regime + reshoring momentum favors these names. Horizon ~30d for a structural/news-momentum theme. Polymarket upstream premise is whether the chip-tariff regime actually lands."
WK008,2025-11-21T16:30:00-0500,Weekly synthesis (Trump posts),Trump demands single federal AI standard preempting state regulation to protect AI investment growth engine,AIQ;CHAT,long,Trump demand for a single federal AI standard that preempts a patchwork of state AI laws -> lower compliance friction and regulatory uncertainty for AI developers/infrastructure -> a tailwind for the AI thematic equity complex tracked by focused AI ETFs.,30,2,broad,Trump signs executive order preempting state AI laws by end of 2025,medium,"Pre-2025-11-21 context: the 10-year state AI 'moratorium' provision was debated in 2025 (proposed in the budget bill, stripped in July), and by late November reporting pointed to an expected/draft executive order pushing federal preemption of state AI rules. Trump's framing explicitly ties this to protecting the 'AI investment growth engine,' i.e. a deregulatory positive for AI builders broadly, not a single firm. Vehicle menu weighed: single mega-caps (NVDA, MSFT, GOOGL) capture some of the theme but are diluted by idiosyncratic company factors; semis-only ETFs (SMH/SOXX) are too narrow to the chip cycle; broad tech (QQQ) too diffuse. Chose a tight equal-weight pair of focused AI thematic funds — AIQ (broad AI development + application ecosystem) and CHAT (generative-AI pure play) — as the cleanest direct read on a sector-wide regulatory-relief signal. Honest scoring: chain_depth 2 because the benefit is diffuse regulatory relief rather than a direct price driver, and audience_breadth 'broad' because this is a policy-theme synthesis widely covered but not a single viral megaphone post."
WK009,2025-11-28T16:30:00-0500,Weekly synthesis (Trump posts),"US-brokered Russia-Ukraine peace plan advancing; 28-point framework fine-tuned, both sides reportedly nearing agreement on ending war",EUAD,short,"A US-brokered 28-point peace framework nearing agreement deflates the war-driven European rearmament narrative, removing the urgency premium that has fueled European aerospace/defense equities, so the focused European-defense ETF should de-rate.",30,2,broad,Russia-Ukraine ceasefire or peace deal in 2025,medium,"Pre-2025-11-28 reporting (CBS, Nov 21) describes a 28-point US-brokered framework being fine-tuned with both sides reportedly nearing agreement. Two clean end-of-chain drivers exist: (a) energy — peace plus possible Russian sanctions easing returns barrels and strips the war-risk premium (oil ETFs BNO/USO; documented oil declines Nov 21), and (b) defense — Europe's entire rearmament/order-book rally has been a direct function of the Russia threat. I judged defense the purer, lower-confounder vehicle: oil is diluted by OPEC+, global demand and the fact Russian crude already flows under sanctions, whereas European defense sentiment maps almost one-for-one to the war ending. Among defense vehicles I weighed ITA and PPA (US-centric, diluted by domestic programs) versus EUAD (Select STOXX Europe Aerospace & Defense, US-listed, the tightest proxy for the European rearmament thesis tied specifically to Ukraine). EUAD is smaller/less liquid than ITA but tracks the actual driver most directly, so it wins per the purest-vehicle rule. Pre-date counter-view (Morningstar, Nov 24) argues demand drivers outlast a deal, hence medium confidence. 30-day horizon captures the framework's near-term resolution/negotiation arc."
WK010,2025-11-28T16:30:00-0500,Weekly synthesis (Trump posts),"Trump-Xi call yields China trade deal on soybeans, farm products, fentanyl; relationship described as extremely strong",SOYB,long,"Trump-Xi call reaffirms China's commitment to resume large-scale US soybean/farm purchases -> incremental US soybean export demand -> upward pull on CBOT soybean futures -> Teucrium Soybean Fund (SOYB), which holds those futures directly.",60,2,megaphone,China meets US soybean purchase commitment (12M tonnes) by early 2026,medium,"Pre-telegraph reporting (farmdoc Nov 17, AFBF Nov 3, AgWeb) shows the US-China framework already specified Chinese commitments to buy US soybeans in Nov/Dec 2025 and reduce ag tariffs; the Nov 28 Trump post reaffirms this. The END of the chain is the soybean PRICE, not a single equity. Vehicles weighed: SOYB (Teucrium Soybean Fund, pure CBOT soybean futures) — chosen as the most direct tracker of the named commodity; CORN/DBA — too diluted across other grains; ADM and BG (Bunge) — grain-handler equities diluted by margins, crush spreads and company-specific factors. SOYB isolates the soybean-demand thesis most cleanly. Direction long because the deal is a net new/reaffirmed demand source for US beans. Confidence only medium because the deal was first announced weeks earlier and is partly priced; this post is largely a reaffirmation. Megaphone because it is a top Trump statement read instantly by the whole market."
